iter	Passed	Remaining
565	3830	2937
566	3836	2929
567	3843	2923
568	3849	2915
569	3856	2909
570	3862	2902
571	3870	2896
572	3879	2890
573	3885	2883
574	3890	2875
575	3895	2867
576	3901	2859
577	3908	2853
578	3913	2845
579	3918	2837
580	3926	2831
581	3931	2823
582	3937	2816
583	3943	2809
584	3949	2801
585	3955	2794
586	3961	2786
587	3966	2779
588	3975	2773
589	3979	2765
590	3985	2758
591	3990	2750
592	3996	2742
593	4001	2735
594	4008	2728
595	4013	2720
596	4019	2713
597	4027	2707
598	4033	2700
599	4040	2693
600	4047	2687
601	4055	2681
602	4061	2673
603	4066	2665
604	4073	2659
605	4079	2652
606	4085	2645
607	4091	2637
608	4097	2630
609	4104	2623
610	4110	2617
611	4117	2610
612	4124	2603
613	4130	2597
614	4138	2590
615	4143	2582
616	4149	2575
617	4155	2568
618	4160	2561
619	4168	2554
620	4175	2548
621	4181	2541
622	4186	2533
623	4192	2526
624	4200	2520
625	4206	2513
626	4213	2506
627	4220	2499
628	4226	2492
629	4233	2486
630	4238	2478
631	4245	2471
632	4251	2465
633	4259	2458
634	4265	2451
635	4270	2444
636	4277	2437
637	4283	2430
638	4289	2423
639	4296	2416
640	4301	2409
641	4311	2403
642	4318	2397
643	4324	2390
644	4330	2383
645	4336	2376
646	4344	2370
647	4352	2364
648	4357	2356
649	4365	2350
650	4371	2343
651	4378	2337
652	4385	2330
653	4392	2323
654	4400	2317
655	4407	2311
656	4413	2304
657	4419	2297
658	4427	2290
659	4432	2283
660	4439	2277
661	4445	2269
662	4450	2262
663	4459	2256
664	4465	2249
665	4471	2242
666	4478	2235
667	4483	2228
668	4491	2222
669	4496	2214
670	4502	2207
671	4509	2201
672	4515	2193
673	4522	2187
674	4529	2180
675	4534	2173
676	4542	2167
677	4548	2160
678	4556	2153
679	4561	2146
680	4568	2140
681	4574	2132
682	4579	2125
683	4585	2118
684	4591	2111
685	4596	2104
686	4603	2097
687	4609	2090
688	4614	2082
689	4622	2076
690	4628	2069
691	4636	2063
692	4643	2057
693	4650	2050
694	4656	2043
695	4662	2036
696	4669	2029
697	4674	2022
698	4679	2015
699	4686	2008
700	4691	2001
701	4697	1994
702	4704	1987
703	4709	1979
704	4716	1973
705	4724	1967
706	4731	1961
707	4737	1953
708	4742	1946
709	4749	1940
710	4754	1932
711	4759	1925
712	4764	1918
713	4769	1910
714	4775	1903
715	4783	1897
716	4787	1889
717	4792	1882
718	4799	1875
719	4804	1868
720	4811	1861
721	4818	1855
722	4825	1848
723	4832	1842
724	4837	1834
725	4842	1827
726	4849	1821
727	4854	1813
728	4860	1806
729	4865	1799
730	4870	1792
731	4875	1785
732	4883	1778
733	4889	1772
734	4897	1765
735	4902	1758
736	4908	1751
737	4914	1744
738	4919	1737
739	4926	1730
740	4935	1724
741	4945	1719
742	4956	1714
743	4965	1708
744	4975	1702
745	4981	1696
746	4987	1689
747	4994	1682
748	4999	1675
749	5006	1668
750	5012	1662
751	5019	1655
752	5027	1649
753	5035	1642
754	5044	1636
755	5051	1630
756	5057	1623
757	5064	1616
758	5074	1611
759	5083	1605
760	5092	1599
761	5100	1592
762	5110	1587
763	5120	1581
764	5129	1575
765	5140	1570
766	5146	1563
767	5155	1557
768	5163	1551
769	5172	1544
770	5177	1537
771	5185	1531
772	5191	1524
773	5198	1517
774	5204	1511
775	5210	1504
776	5217	1497
777	5222	1490
778	5228	1483
779	5236	1476
780	5243	1470
781	5251	1463
782	5256	1456
783	5262	1449
784	5270	1443
785	5278	1437
786	5287	1431
787	5294	1424
788	5302	1418
789	5308	1411
790	5316	1404
791	5324	1398
792	5330	1391
793	5337	1384
794	5342	1377
795	5350	1371
796	5357	1364
797	5367	1358
798	5374	1351
799	5381	1345
800	5387	1338
801	5394	1331
802	5400	1325
